State,County,Year,Poverty Rate
Minnesota,Nicollet County,2012,10.69
Minnesota,Nicollet County,2011,10.99
Minnesota,Nicollet County,2010,10.99
Minnesota,Nicollet County,2009,10.99
Minnesota,Nobles County,2018,10.43
Minnesota,Nobles County,2017,14.3
Minnesota,Nobles County,2016,14.09
Minnesota,Nobles County,2015,14.1
Minnesota,Nobles County,2014,15.5
Minnesota,Nobles County,2013,15.59
Minnesota,Nobles County,2012,17.16
Minnesota,Nobles County,2011,17.16
Minnesota,Nobles County,2010,17.16
Minnesota,Nobles County,2009,17.16
Minnesota,Norman County,2018,17.16
Minnesota,Norman County,2017,11.68
Minnesota,Norman County,2016,11.85
Minnesota,Norman County,2015,12.6
Minnesota,Norman County,2014,12.93
Minnesota,Norman County,2013,12.93
Minnesota,Norman County,2012,11.29
Minnesota,Norman County,2011,11.31
Minnesota,Norman County,2010,11.31
Minnesota,Norman County,2009,11.31
Minnesota,Olmsted County,2018,9.23
Minnesota,Olmsted County,2017,8.94
Minnesota,Olmsted County,2016,9.21
Minnesota,Olmsted County,2015,9.23
Minnesota,Olmsted County,2014,9.03
Minnesota,Olmsted County,2013,9.05
Minnesota,Olmsted County,2012,8.42
Minnesota,Olmsted County,2011,8.46
Minnesota,Olmsted County,2010,8.46
Minnesota,Olmsted County,2009,8.46
Minnesota,Otter Tail County,2018,9.24
Minnesota,Otter Tail County,2017,9.21
Minnesota,Otter Tail County,2016,9.68
Minnesota,Otter Tail County,2015,9.69
Minnesota,Otter Tail County,2014,9.92
Minnesota,Otter Tail County,2013,10.98
Minnesota,Otter Tail County,2012,12.13
Minnesota,Otter Tail County,2011,12.24
Minnesota,Otter Tail County,2010,12.24
Minnesota,Otter Tail County,2009,11.97
Minnesota,Pennington County,2018,9.85
Minnesota,Pennington County,2017,9.83
Minnesota,Pennington County,2016,8.8
Minnesota,Pennington County,2015,8.83
Minnesota,Pennington County,2014,9.3
Minnesota,Pennington County,2013,9.3
Minnesota,Pennington County,2012,10.59
Minnesota,Pennington County,2011,10.59
Minnesota,Pennington County,2010,10.59
Minnesota,Pennington County,2009,11.29
Minnesota,Pine County,2018,18.84
Minnesota,Pine County,2017,13.31
Minnesota,Pine County,2016,13.68
Minnesota,Pine County,2015,14.56
Minnesota,Pine County,2014,14.63
Minnesota,Pine County,2013,14.63
Minnesota,Pine County,2012,14.77
Minnesota,Pine County,2011,14.77
Minnesota,Pine County,2010,14.77
Minnesota,Pine County,2009,14.77
Minnesota,Pipestone County,2018,14.77
Minnesota,Pipestone County,2017,11.78
Minnesota,Pipestone County,2016,12.39
Minnesota,Pipestone County,2015,12.92
Minnesota,Pipestone County,2014,12.92
Minnesota,Pipestone County,2013,12.92
Minnesota,Pipestone County,2012,10.1
Minnesota,Pipestone County,2011,10.14
Minnesota,Pipestone County,2010,10.14
Minnesota,Pipestone County,2009,10.14
Minnesota,Polk County,2018,10.14
Minnesota,Polk County,2017,12.41
Minnesota,Polk County,2016,12.83
Minnesota,Polk County,2015,13.1
Minnesota,Polk County,2014,13.12
Minnesota,Polk County,2013,13.0
Minnesota,Polk County,2012,12.25
Minnesota,Polk County,2011,12.23
Minnesota,Polk County,2010,12.23
Minnesota,Polk County,2009,12.23
Minnesota,Pope County,2018,4.07
Minnesota,Pope County,2017,7.28
Minnesota,Pope County,2016,9.3
Minnesota,Pope County,2015,9.46
Minnesota,Pope County,2014,9.42
Minnesota,Pope County,2013,9.42
Minnesota,Pope County,2012,8.61
Minnesota,Pope County,2011,8.67
Minnesota,Pope County,2010,8.67
Minnesota,Pope County,2009,8.67
Minnesota,Ramsey County,2018,20.47
Minnesota,Ramsey County,2017,14.65
Minnesota,Ramsey County,2016,15.85
Minnesota,Ramsey County,2015,16.02
Minnesota,Ramsey County,2014,16.46
Minnesota,Ramsey County,2013,16.46
Minnesota,Ramsey County,2012,16.72
Minnesota,Ramsey County,2011,16.78
Minnesota,Ramsey County,2010,16.78
Minnesota,Ramsey County,2009,16.78
Minnesota,Red Lake County,2018,16.78
Minnesota,Red Lake County,2017,9.51
Minnesota,Red Lake County,2016,10.06
Minnesota,Red Lake County,2015,10.65
Minnesota,Red Lake County,2014,10.71
Minnesota,Red Lake County,2013,10.71
Minnesota,Red Lake County,2012,11.18
Minnesota,Red Lake County,2011,11.23
Minnesota,Red Lake County,2010,11.23
Minnesota,Red Lake County,2009,11.23
Minnesota,Redwood County,2018,11.23
Minnesota,Redwood County,2017,11.73
Minnesota,Redwood County,2016,11.75
Minnesota,Redwood County,2015,11.85
Minnesota,Redwood County,2014,11.82
Minnesota,Redwood County,2013,10.12
Minnesota,Redwood County,2012,9.98
